# real imaginary
1500.000000 0.000000
477.916222 294.235584
382.683432 114.805030
158.463069 -249.440884
-1207.106781 -212.132034
-627.231890 166.671070
-923.879533 277.163860
-909.123624 -58.527097
500.000000 -300.000000
202.016842 -58.527097
923.879533 277.163860
1334.338671 166.671070
207.106781 -212.132034
548.643713 -249.440884
-382.683432 114.805030
-1185.023003 294.235584
-500.000000 0.000000
-1185.023003 -294.235584
-382.683432 -114.805030
548.643713 249.440884
207.106781 212.132034
1334.338671 -166.671070
923.879533 -277.163860
202.016842 58.527097
500.000000 300.000000
-909.123624 58.527097
-923.879533 -277.163860
-627.231890 -166.671070
-1207.106781 212.132034
158.463069 249.440884
382.683432 -114.805030
477.916222 -294.235584
